City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,avarua,-21.2078,-159.775,66.25,82,100,1.14,CK,1722707687
134,arraial do cabo,-22.9661,-42.0278,76.96,69,40,21.85,BR,1722707688
135,fedorovskiy,45.0972,40.9517,78.71,32,11,3.53,RU,1722707689
136,ormara,25.2088,64.6357,82.89,88,100,8.19,PK,1722707690
137,xiaoweizhai,26.1903,107.5125,71.74,97,70,3.62,CN,1722707691
138,cutral-co,-38.9469,-69.2089,55.9,10,1,20.0,AR,1722707693
139,bilibino,68.0546,166.4372,41.14,78,95,2.86,RU,1722707694
140,caleta de carquin,-11.0925,-77.6267,67.15,70,54,8.97,PE,1722707695
141,kavieng,-2.5744,150.7967,81.14,80,100,11.79,PG,1722707696
142,negotin,44.2264,22.5308,82.54,28,12,9.64,RS,1722707697
143,rouissat,31.9243,5.3502,114.87,9,1,8.05,DZ,1722707698
144,nemuro,43.3236,145.575,62.1,94,69,9.06,JP,1722707699
145,ain oussera,35.4514,2.9058,92.7,21,0,15.97,DZ,1722707700
146,papao,-17.75,-149.55,73.08,67,18,9.86,PF,1722707701
147,atafu village,-8.5421,-172.5159,83.14,75,95,14.85,TK,1722707703
148,talara,-4.5772,-81.2719,75.96,64,0,18.41,PE,1722707704
149,coffs harbour,-30.3,153.1333,47.14,93,100,4.61,AU,1722707705
150,geraldton,-28.7667,114.6,48.61,76,0,8.05,AU,1722707706
151,lavaltrie,45.8834,-73.2824,89.44,58,98,8.05,CA,1722707707
152,el granada,37.5027,-122.4694,79.2,71,20,13.8,US,1722707708
153,port elizabeth,-33.918,25.5701,62.1,49,0,4.61,ZA,1722707709
154,moju,-1.8839,-48.7689,97.95,23,12,5.01,BR,1722707712
155,tocopilla,-22.092,-70.1979,66.33,63,11,4.85,CL,1722707592
156,utrik,11.2278,169.8474,82.35,77,4,5.68,MH,1722707714
157,turbat,26.0023,63.044,84.63,72,89,10.94,PK,1722707715
158,weno,7.4515,151.8468,82.35,83,100,6.91,FM,1722707716
159,nyurba,63.2842,118.3319,50.92,59,12,1.52,RU,1722707717
160,kailua-kona,19.6406,-155.9956,78.76,84,0,3.44,US,1722707718
161,dubbo,-32.25,148.6167,37.53,93,62,9.22,AU,1722707720
162,alamosa,37.4695,-105.87,73.38,40,0,4.61,US,1722707721
163,makokou,0.5738,12.8642,80.26,57,88,6.22,GA,1722707722
